Year,Month,Day,Hour,Minute,Temperature,Dew Point,GHI,Relative Humidity,Pressure,Wind Direction,Wind Speed
2020,1,12,20,0,10,5.6,215,74.06,993,298,0.5
2020,1,12,21,0,6.8,3.3,70,78.48,995,306,0.4
2020,1,12,22,0,4.2,1.1,0,80.05,997,310,0.4
2020,1,12,23,0,2.3,-0.5,0,81.63,999,313,0.4
2020,1,13,0,0,0.9,-1.5,0,83.96,1000,318,0.3
2020,1,13,1,0,-0.2,-2.1,0,87.32,1001,329,0.2
2020,1,13,2,0,-1.7,-2.5,0,93.96,1002,343,0.1
2020,1,13,3,0,-2.6,-2.9,0,97.55,1003,355,0.1
2020,1,13,4,0,-3,-3.3,0,97.87,1004,359,0.1
2020,1,13,5,0,-3.2,-3.6,0,96.88,1004,4,0.1
2020,1,13,6,0,-2.9,-3.8,0,93.62,1004,17,0.2
2020,1,13,7,0,-2.8,-4,0,91.66,1004,28,0.2
2020,1,13,8,0,-3,-4.2,0,91.54,1004,39,0.2
2020,1,13,9,0,-3,-4.3,0,90.41,1004,48,0.2
2020,1,13,10,0,-3,-4.4,0,90.07,1005,56,0.2
2020,1,13,11,0,-2.9,-4.2,0,90.7,1005,68,0.2
2020,1,13,12,0,-2.6,-3.7,0,92.06,1004,77,0.2
2020,1,13,13,0,-1.2,-2.8,30,89.18,1004,90,0.2
2020,1,13,14,0,0.7,-1.3,54,86.47,1004,107,0.3
2020,1,13,15,0,2.1,0,66,85.98,1004,124,0.3
2020,1,13,16,0,2.9,0.9,123,86.43,1003,139,0.2
2020,1,13,17,0,3.3,1.5,61,88.11,1002,152,0.2
2020,1,13,18,0,3.2,2,45,91.97,1001,141,0.1
2020,1,13,19,0,2.6,2.1,7,96.3,1001,123,0.3
2020,1,13,20,0,2,2,53,100,1001,125,0.3
2020,1,13,21,0,1.8,1.8,34,100,1001,138,0.3
2020,1,13,22,0,2,2,0,100,1001,149,0.3
2020,1,13,23,0,2.1,2.1,0,100,1001,133,0.1
2020,1,14,0,0,1.6,1.6,0,100,1001,342,0.3
2020,1,14,1,0,1.1,1.1,0,100,1002,330,0.3
2020,1,14,2,0,0.8,0.8,0,100,1002,326,0.2
2020,1,14,3,0,0.8,0.8,0,100,1002,325,0.1
2020,1,14,4,0,0.8,0.8,0,100,1001,310,0.1
2020,1,14,5,0,0.7,0.7,0,99.76,1001,307,0.1
2020,1,14,6,0,0.5,0.5,0,99.88,1001,308,0.1
2020,1,14,7,0,0.3,0.2,0,99.28,1001,307,0.2
2020,1,14,8,0,-0.1,-0.1,0,99.71,1002,310,0.1
2020,1,14,9,0,-0.4,-0.4,0,100,1001,325,0.1
2020,1,14,10,0,-0.7,-0.7,0,100,1001,336,0.1
2020,1,14,11,0,-0.9,-0.9,0,100,1001,349,0.1
2020,1,14,12,0,-0.8,-0.8,0,100,1001,2,0.1
2020,1,14,13,0,0.4,-0.5,29,93.82,1001,18,0.1
2020,1,14,14,0,2.2,-0.1,137,84.93,1001,60,0.1
2020,1,14,15,0,4.2,0,250,74.05,1000,96,0.2
2020,1,14,16,0,5.5,-0.2,224,66.49,999,129,0.2
2020,1,14,17,0,6.1,-0.2,258,63.87,998,158,0.2
2020,1,14,18,0,6.3,-0.1,192,63.45,997,174,0.1
2020,1,14,19,0,5.8,0.3,190,67.53,996,166,0.1
2020,1,14,20,0,4,2.1,100,87.22,996,162,0.1
2020,1,14,21,0,1.7,1.3,29,97.02,995,150,0.1
2020,1,14,22,0,1.5,1.3,0,98.26,995,146,0.1
2020,1,14,23,0,1.4,1.3,0,99.63,995,151,0.2
2020,1,15,0,0,1.3,1.3,0,100,995,159,0.2
2020,1,15,1,0,1.2,1.2,0,100,995,159,0.2
2020,1,15,2,0,1.2,1.2,0,100,994,167,0.2
2020,1,15,3,0,1.3,1.3,0,100,994,177,0.2
2020,1,15,4,0,1.5,1.5,0,100,993,192,0.2
2020,1,15,5,0,1.7,1.7,0,100,993,205,0.2
2020,1,15,6,0,1.8,1.8,0,100,992,215,0.2
2020,1,15,7,0,2,2,0,100,992,223,0.2
2020,1,15,8,0,2.1,2.1,0,100,991,235,0.2
2020,1,15,9,0,2.4,2.4,0,100,991,255,0.2
2020,1,15,10,0,2.6,2.6,0,100,992,273,0.3
2020,1,15,11,0,2.3,2.3,0,100,993,281,0.3
2020,1,15,12,0,1.9,1.9,0,100,993,283,0.3
2020,1,15,13,0,2.5,2.1,87,97.46,994,290,0.3
2020,1,15,14,0,3.8,2.1,236,88.48,994,296,0.3
2020,1,15,15,0,5.3,1.3,333,75.24,994,305,0.4
2020,1,15,16,0,6.2,0.4,400,66.52,993,308,0.3
2020,1,15,17,0,6.7,0.2,250,63.37,993,304,0.3
2020,1,15,18,0,6.8,0.3,425,63.32,992,296,0.3
2020,1,15,19,0,6.3,0.7,255,67.37,992,287,0.3
2020,1,15,20,0,4.8,1.7,222,80.24,993,283,0.2
2020,1,15,21,0,1.5,0.9,75,95.53,993,287,0.1
2020,1,15,22,0,0.4,0.2,0,98.41,994,302,0.2
2020,1,15,23,0,-0.6,-0.6,0,100,994,320,0.2
2020,1,16,0,0,-0.8,-0.8,0,99.69,993,329,0.5
2020,1,16,1,0,-0.1,-1.1,0,92.93,993,323,0.7
2020,1,16,2,0,0.3,-1.3,0,89.31,993,282,0.7
2020,1,16,3,0,-0.2,-1.4,0,91.61,992,237,0.8
2020,1,16,4,0,-0.7,-1.4,0,94.68,991,213,0.9
2020,1,16,5,0,-0.9,-1.3,0,97.14,990,195,0.7
2020,1,16,6,0,-1.1,-1.1,0,100,989,182,0.4
2020,1,16,7,0,-0.4,-0.4,0,100,987,157,0.2
2020,1,16,8,0,-0.4,-0.4,0,100,986,157,0.2
2020,1,16,9,0,-0.2,-0.2,0,100,985,129,0.2
2020,1,16,10,0,0.7,0.7,0,100,984,131,0.3
2020,1,16,11,0,1.5,1.5,0,100,982,171,0.3
2020,1,16,12,0,2.6,2.6,0,100,981,210,0.3
2020,1,16,13,0,3.4,3.4,22,100,981,248,0.3
2020,1,16,14,0,4,3.9,113,99.16,981,268,0.5
2020,1,16,15,0,4.2,2.9,206,91.42,981,279,0.6
2020,1,16,16,0,4.2,1.4,84,81.94,980,287,0.7
2020,1,16,17,0,4.2,0.2,152,75.2,980,297,0.8
2020,1,16,18,0,3.8,-0.9,195,71.58,981,305,0.8
2020,1,16,19,0,2.7,-2,221,71.08,982,308,0.7
2020,1,16,20,0,1.5,-2.8,53,73.12,983,310,0.7
2020,1,16,21,0,0.3,-3.3,70,76.7,984,313,0.6
2020,1,16,22,0,-0.5,-3.8,0,78.26,986,315,0.6
2020,1,16,23,0,-1.2,-4.6,0,77.66,988,317,0.6
2020,1,17,0,0,-1.9,-5.4,0,76.69,989,318,0.6
2020,1,17,1,0,-2.6,-6.3,0,75.97,989,319,0.6
2020,1,17,2,0,-3.4,-7.2,0,75.05,991,320,0.6
2020,1,17,3,0,-4.1,-8.4,0,72.1,992,323,0.6
2020,1,17,4,0,-4.9,-9.6,0,69.61,993,324,0.6
2020,1,17,5,0,-5.7,-10.7,0,67.6,994,325,0.6
2020,1,17,6,0,-6.5,-12,0,65.13,995,326,0.7
2020,1,17,7,0,-7.3,-13.1,0,63.22,997,328,0.7
2020,1,17,8,0,-8.1,-13.9,0,62.9,998,330,0.7
2020,1,17,9,0,-8.9,-14.5,0,63.64,999,331,0.7
2020,1,17,10,0,-9.5,-15.1,0,63.55,1001,331,0.7
2020,1,17,11,0,-9.9,-15.7,0,62.45,1002,331,0.7
2020,1,17,12,0,-10.2,-16.2,0,61.29,1004,331,0.7
2020,1,17,13,0,-9.8,-16.7,99,57.28,1005,333,0.7
2020,1,17,14,0,-9.2,-16.9,255,53.64,1006,334,0.7
2020,1,17,15,0,-8.4,-16.8,389,50.61,1007,333,0.7
2020,1,17,16,0,-7.6,-16.7,473,48.13,1007,331,0.6
2020,1,17,17,0,-7,-16.5,500,46.83,1007,328,0.6
